participant_id,household_size,contact_home,contact_work,contact_school,contact_transport,contact_leisure,contact_other,gender_female,gender_male,age_adult,age_elderly,age_young,age_years
22,5,0,0,1,0,0,0,0,1,1,0,0,37
22,5,1,0,0,0,0,0,0,1,1,0,0,38
22,5,1,0,0,0,0,0,0,1,0,0,1,10
22,5,0,0,1,0,0,0,0,1,0,0,1,3
23,4,1,0,0,1,1,1,1,0,1,0,0,42
23,4,0,0,1,0,0,0,1,0,0,0,1,8
23,4,1,0,0,0,0,0,1,0,1,0,0,67
23,4,0,0,1,0,0,0,1,0,0,0,1,8
23,4,0,0,1,0,0,0,1,0,0,0,1,8
23,4,0,0,0,0,1,0,1,0,0,0,1,9
23,4,0,0,0,0,1,0,1,0,0,0,1,8
23,4,0,0,0,0,1,0,1,0,0,0,1,8
23,4,0,0,0,0,1,0,1,0,1,0,0,30
23,4,0,0,1,0,0,0,1,0,0,0,1,8
23,4,1,0,0,0,1,0,1,0,1,0,0,28
23,4,0,0,0,0,1,0,1,0,0,0,1,9
23,4,0,0,0,0,1,0,1,0,0,0,1,9
23,4,0,0,1,0,1,1,1,0,1,0,0,32
23,4,0,0,1,0,0,0,1,0,0,0,1,8
23,4,0,0,1,0,0,0,1,0,0,0,1,8
23,4,0,0,1,0,0,0,1,0,0,0,1,8
23,4,0,0,1,0,0,0,1,0,0,0,1,8
23,4,0,0,0,0,1,0,1,0,0,0,1,8
23,4,0,0,1,0,0,0,1,0,0,0,1,8
23,4,0,0,1,0,0,0,1,0,0,0,1,8
23,4,0,0,1,0,0,0,1,0,0,0,1,8
23,4,0,0,1,0,0,0,1,0,0,0,1,8
23,4,0,0,1,0,0,0,1,0,1,0,0,35
23,4,1,0,0,0,0,0,1,0,1,0,0,65
23,4,0,0,0,0,1,0,1,0,0,0,1,8
23,4,1,0,0,1,1,1,1,0,1,0,0,36
23,4,1,0,0,1,1,1,1,0,0,0,1,3
24,4,1,0,0,0,0,0,0,1,1,0,0,36
24,4,1,0,0,0,0,0,0,1,1,0,0,70
24,4,1,0,0,0,0,0,0,1,0,1,0,79
24,4,1,0,0,0,0,0,0,1,0,0,1,10
24,4,0,0,0,0,1,0,0,1,1,0,0,60
24,4,0,0,1,0,0,0,0,1,0,0,1,6
24,4,0,0,1,0,0,0,0,1,0,0,1,5
24,4,0,0,0,0,1,0,0,1,1,0,0,37
24,4,1,0,0,0,0,0,0,1,1,0,0,33
24,4,0,0,1,0,0,0,0,1,0,0,1,6
24,4,0,0,1,0,0,0,0,1,1,0,0,67
24,4,0,0,1,0,0,0,0,1,0,0,1,6
25,4,1,0,0,0,0,0,0,1,1,0,0,47
25,4,1,0,0,0,0,0,0,1,1,0,0,43
